h_position_x,h_position_y,h_position_z,h_orientation_x,h_orientation_y,h_orientation_z,h_orientation_w,e_position_x,e_position_y,e_position_z,e_orientation_x,e_orientation_y,e_orientation_z,e_orientation_w,stamp,gripper_state
-0.776629137396237,-0.060205471416421,-0.0903332704363687,0.691554,-0.050028,0.000399,-0.72059,-0.464498529623385,0.0712417369870388,-0.143834316928995,0.691554,-0.050028,0.000399,-0.72059,11,0.145
-0.776618240793455,-0.0603190805715935,-0.0901533367952424,0.691632,-0.04945,-0.00025,-0.720555,-0.4645016192667,0.0710345074551396,-0.143923856716136,0.691632,-0.04945,-0.00025,-0.720555,12,0.145
-0.776599068759201,-0.060335960953155,-0.090126452298047,0.691597,-0.049634,-9.7e-05,-0.720576,-0.46451213358621,0.0710981641586535,-0.143892329619273,0.691597,-0.049634,-9.7e-05,-0.720576,13,0.145
-0.776586112350626,-0.0604425045309411,-0.089992708904729,0.691619,-0.04937,-0.00043,-0.720573,-0.464524866590403,0.070981884581869,-0.143939415624466,0.691619,-0.04937,-0.00043,-0.720573,14,0.145
-0.776531215406845,-0.0605330863207279,-0.0899674946159918,0.691558,-0.049563,-0.000256,-0.720619,-0.464512581542247,0.0710013286786318,-0.143926300453536,0.691558,-0.049563,-0.000256,-0.720619,15,0.145
-0.776475563137279,-0.0606697785442408,-0.0900242208568839,0.691534,-0.049396,-0.000349,-0.720653,-0.464490388348398,0.0709111379502006,-0.144051360125858,0.691534,-0.049396,-0.000349,-0.720653,16,0.145
-0.776442347328163,-0.0608140941824768,-0.0895930371528942,0.691545,-0.049194,-0.000812,-0.720656,-0.464503142936541,0.0707735958583318,-0.143917589734671,0.691545,-0.049194,-0.000812,-0.720656,17,0.145
-0.77639413196673,-0.0609649438334693,-0.0895783620070935,0.691518,-0.04903,-0.000966,-0.720693,-0.464495739212874,0.0706683312876352,-0.143995782747902,0.691518,-0.04903,-0.000966,-0.720693,18,0.145
-0.776336758511409,-0.061032141587382,-0.0895466829376034,0.691492,-0.049021,-0.000985,-0.720719,-0.464482184654309,0.0706649616363122,-0.144011787618778,0.691492,-0.049021,-0.000985,-0.720719,19,0.145
-0.776254554015955,-0.0612674669768251,-0.0896009477380649,0.691452,-0.048729,-0.001206,-0.720776,-0.464452230587989,0.0705011189324989,-0.144139285512049,0.691452,-0.048729,-0.001206,-0.720776,20,0.145
-0.776185875353885,-0.0613566671565771,-0.0895730254248664,0.691397,-0.048835,-0.001136,-0.720822,-0.464444719234657,0.0705144695795054,-0.144104809967258,0.691397,-0.048835,-0.001136,-0.720822,21,0.145
