position_x,position_y,position_z,orientation_x,orientation_y,orientation_z,orientation_w,stamp,gripper_state
-0.502366,-0.397039,1.203929,-0.705734,0.053619,-0.123410,0.695582,451669265.000000,0.145000
-0.502228,-0.396920,1.202867,-0.706603,0.053700,-0.122930,0.694778,458193649.000000,0.145000
-0.502123,-0.396724,1.201553,-0.707683,0.053890,-0.122163,0.693799,467133600.000000,0.145000
-0.502097,-0.396707,1.201362,-0.707835,0.053869,-0.122100,0.693657,468401720.000000,0.145000
-0.501957,-0.396618,1.200326,-0.708656,0.053754,-0.121759,0.692887,475269917.000000,0.145000
-0.501822,-0.396594,1.198954,-0.709349,0.054208,-0.121135,0.692252,483931679.000000,0.145000
-0.501798,-0.396586,1.198764,-0.709470,0.054231,-0.121065,0.692138,485084821.000000,0.145000
-0.501658,-0.396538,1.197630,-0.710195,0.054367,-0.120648,0.691456,491973261.000000,0.145000
-0.501630,-0.396508,1.197392,-0.710295,0.054427,-0.120493,0.691376,493406584.000000,0.145000
-0.501492,-0.396363,1.196248,-0.710774,0.054717,-0.119749,0.690990,500299762.000000,0.145000
-0.501361,-0.396276,1.195069,-0.711295,0.054783,-0.119322,0.690522,509136884.000000,0.145000
-0.501341,-0.396271,1.194888,-0.711346,0.054855,-0.119227,0.690480,510256578.000000,0.145000
-0.501217,-0.396242,1.193773,-0.711664,0.055293,-0.118639,0.690219,517149193.000000,0.145000
-0.501189,-0.396248,1.193534,-0.711734,0.055405,-0.118519,0.690158,518378784.000000,0.145000
-0.501043,-0.396275,1.192298,-0.712099,0.055987,-0.117902,0.689840,524735315.000000,0.145000
-0.501012,-0.396259,1.191992,-0.712175,0.056079,-0.117732,0.689783,526716282.000000,0.145000
-0.500909,-0.396204,1.190989,-0.712424,0.056381,-0.117173,0.689597,533214082.000000,0.145000
-0.500748,-0.396263,1.189637,-0.712846,0.057008,-0.116583,0.689209,542046864.000000,0.145000
-0.500726,-0.396256,1.189423,-0.712882,0.057075,-0.116453,0.689188,543364336.000000,0.145000
-0.500612,-0.396215,1.188310,-0.713070,0.057428,-0.115776,0.689078,550221950.000000,0.145000
-0.500587,-0.396239,1.188067,-0.713115,0.057569,-0.115650,0.689041,551734020.000000,0.145000
-0.500471,-0.396352,1.186919,-0.713330,0.058238,-0.115052,0.688863,558883704.000000,0.145000
-0.500308,-0.396416,1.185504,-0.713672,0.058927,-0.114319,0.688572,566830730.000000,0.145000
-0.500285,-0.396407,1.185285,-0.713712,0.058973,-0.114194,0.688547,568388035.000000,0.145000
-0.500182,-0.396364,1.184295,-0.713895,0.059179,-0.113632,0.688432,575397473.000000,0.145000
-0.500168,-0.396375,1.184096,-0.713912,0.059263,-0.113551,0.688421,576741268.000000,0.145000
-0.500099,-0.396432,1.183093,-0.713995,0.059687,-0.113143,0.688366,583519153.000000,0.145000
-0.499988,-0.396363,1.181804,-0.714077,0.060116,-0.112367,0.688370,592243291.000000,0.145000
-0.499974,-0.396376,1.181616,-0.714111,0.060214,-0.112292,0.688339,593370249.000000,0.145000
-0.499892,-0.396447,1.180526,-0.714305,0.060779,-0.111859,0.688158,599921459.000000,0.145000
-0.499787,-0.396515,1.179319,-0.714558,0.061271,-0.111524,0.687906,608832063.000000,0.145000
-0.499777,-0.396525,1.179147,-0.714572,0.061343,-0.111466,0.687895,610041668.000000,0.145000
-0.499717,-0.396587,1.178139,-0.714652,0.061764,-0.111123,0.687829,617129422.000000,0.145000
-0.499705,-0.396609,1.177946,-0.714687,0.061859,-0.111080,0.687792,618442346.000000,0.145000
-0.499639,-0.396730,1.176884,-0.714877,0.062383,-0.110841,0.687585,625681848.000000,0.145000
-0.499527,-0.396762,1.175425,-0.715261,0.063209,-0.110190,0.687215,633571973.000000,0.145000
-0.499516,-0.396799,1.175224,-0.715216,0.063345,-0.110098,0.687264,635046770.000000,0.145000
-0.499463,-0.396970,1.174301,-0.715008,0.063970,-0.109674,0.687490,641837152.000000,0.145000
-0.499453,-0.396983,1.174066,-0.715003,0.064112,-0.109550,0.687503,643333723.000000,0.145000
-0.499412,-0.397043,1.172963,-0.714976,0.064777,-0.108970,0.687560,650351932.000000,0.145000
